rating,title,author,fname,lname,date,language
,princess of cleves,mme de lafayette,,de lafayette,3/6/07,english
,paradise lost,john milton,john,milton,3/8/07,english
,pride and prejudice,jane austen,jane,austen,4/5/07,english
,faust,johannes von goethe,johannes von,goethe,4/10/07,english
,sorrows of young werther,johannes von goethe,johannes von,goethe,4/10/07,english
,danton's death,georg bÃ_chner,georg,bÃ_chner,4/12/07,english
,introductory lectures on aesthetics,hegel,,hegel,4/17/07,english
,communist manifesto,karl marx,karl,marx,4/24/07,english
,madame bovary,gustav flaubert,gustav,flaubert,4/26/07,english
,les fleurs de mal,charles baudelaire,charles,baudelaire,5/1/07,english
,geneology of morals,friedrich nietzsche,friedrich,nietzsche,5/3/07,english
****,if on a winter's night a traveler,italo calvino,italo,calvino,9/3/15,english
****,happy city,charles montgomery,charles,montgomery,7/19/15,english
***,walkable city,jeff speck,jeff,speck,7/24/15,english
****,secret history,donna tartt,donna,tartt,6/27/15,english
****,yellow birds,kevin powers,kevin,powers,5/22/15,english
**,j,howard jacobson,howard,jacobson,9/19/15,english
***,narrow road to the deep north,richard flanagan,richard,flanagan,10/1/15,english
****,tinkers,paul harding,paul,harding,11/10/15,english
*****,invention of love,tom stoppard,tom,stoppard,11/27/15,english
*****,between the world and me,ta-nehisi coates,ta-nehisi,coates,12/13/15,english
***,unfinished business,anne-marie slaughter,anne-marie,slaughter,12/9/15,english
**,girl on the train,paula hawkins,paula,hawkins,12/7/15,english
****,little life,hanya yanagihara,hanya,yanagihara,1/1/16,english
***,geography of nowhere,james howard kunstler,james howard,kunstler,1/13/16,english
***,botany of desire,michael pollan,michael,pollan,1/23/16,english
***,reader,bernhard schlink,bernhard,schlink,2/15/16,english
***,streetfight,janette sadik-khan,janette,sadik-khan,7/31/16,english
***,missing person,patrick modiano,patrick,modiano,6/12/16,english
***,chernobyl,svetlana alexievich,svetlana,alexievich,6/30/16,english
**,moneyball,michael lewis,michael,lewis,10/16/16,english
****,evicted,matthew desmond,matthew,desmond,8/14/16,english
**,cartel,don winslow,don,winslow,9/6/16,english
****,hillbilly elegy,j.d. vance,j.d.,vance,12/9/16,english
